area;conversion_tech;year_inv;power_capacity_investment_max;power_capacity_investment_min
ME;ccgt;2030;0.0;0.0
ME;coal_pp;2030;0.0;0.0
ME;dsr_1;2030;0.0;0.0
ME;dsr_10;2030;0.0;0.0
ME;dsr_2;2030;0.0;0.0
ME;dsr_3;2030;0.0;0.0
ME;dsr_4;2030;0.0;0.0
ME;dsr_5;2030;0.0;0.0
ME;dsr_6;2030;0.0;0.0
ME;dsr_7;2030;0.0;0.0
ME;dsr_8;2030;0.0;0.0
ME;dsr_9;2030;0.0;0.0
ME;electrolysis_2030;2030;0.0;0.0
ME;hydro_pondage;2030;0.0;0.0
ME;hydro_pondage_h2o_inflow;2030;0.0;0.0
ME;hydro_reservoir;2030;706.0;706.0
ME;hydro_reservoir_h2o_inflow;2030;706.0;706.0
ME;hydro_river;2030;581.0;581.0
ME;lignite_pp;2030;225.0;225.0
ME;nuclear_lte;2030;0.0;0.0
ME;nuclear_new;2030;0.0;0.0
ME;ocgt;2030;;0.0
ME;oil_pp;2030;0.0;0.0
ME;other_res;2030;0.0;0.0
ME;solar_pv;2030;0.0;0.0
