conversion_tech;year_op;emission_factor;ramp_up;ramp_down
ammonia_ships;2033;;0.002;0.002
ammonia_ships;2038;;0.002;0.002
ammonia_ships;2043;;0.002;0.002
ammonia_ships;2053;;0.002;0.002
mena_imports;2033;;;
mena_imports;2038;;;
mena_imports;2043;;;
mena_imports;2053;;;
ukraine_imports;2033;;0.286;0.286
ukraine_imports;2038;;0.286;0.286
ukraine_imports;2043;;0.286;0.286
ukraine_imports;2053;;0.286;0.286
norway_imports;2033;;0.286;0.286
norway_imports;2038;;0.286;0.286
norway_imports;2043;;0.286;0.286
norway_imports;2053;;0.286;0.286
dsr_1;2033;;;
dsr_1;2038;;;
dsr_1;2043;;;
dsr_1;2053;;;
dsr_2;2033;;;
dsr_2;2038;;;
dsr_2;2043;;;
dsr_2;2053;;;
dsr_3;2033;;;
dsr_3;2038;;;
dsr_3;2043;;;
dsr_3;2053;;;
dsr_4;2033;;;
dsr_4;2038;;;
dsr_4;2043;;;
dsr_4;2053;;;
dsr_5;2033;;;
dsr_5;2038;;;
dsr_5;2043;;;
dsr_5;2053;;;
dsr_6;2033;;;
dsr_6;2038;;;
dsr_6;2043;;;
dsr_6;2053;;;
dsr_7;2033;;;
dsr_7;2038;;;
dsr_7;2043;;;
dsr_7;2053;;;
dsr_8;2033;;;
dsr_8;2038;;;
dsr_8;2043;;;
dsr_8;2053;;;
dsr_9;2033;;;
dsr_9;2038;;;
dsr_9;2043;;;
dsr_9;2053;;;
dsr_10;2033;;;
dsr_10;2038;;;
dsr_10;2043;;;
dsr_10;2053;;;
