area;year_inv;storage_tech;energy_capacity_investment_max;energy_capacity_investment_min;power_capacity_investment_max;power_capacity_investment_min
CZ;2035;salt_cavern;0.0;0.0;0.0;0.0
DE;2035;salt_cavern;0.0;0.0;0.0;0.0
DK;2035;salt_cavern;0.0;0.0;0.0;0.0
EE;2035;salt_cavern;0.0;0.0;0.0;0.0
ES;2035;salt_cavern;0.0;0.0;0.0;0.0
FI;2035;salt_cavern;0.0;0.0;0.0;0.0
FR;2035;salt_cavern;0.0;0.0;0.0;0.0
GR;2035;salt_cavern;0.0;0.0;0.0;0.0
HR;2035;salt_cavern;0.0;0.0;0.0;0.0
HU;2035;salt_cavern;0.0;0.0;0.0;0.0
IE;2035;salt_cavern;0.0;0.0;0.0;0.0
IT;2035;salt_cavern;0.0;0.0;0.0;0.0
LT;2035;salt_cavern;0.0;0.0;0.0;0.0
LU;2035;salt_cavern;0.0;0.0;0.0;0.0
LV;2035;salt_cavern;0.0;0.0;0.0;0.0
MD;2035;salt_cavern;0.0;0.0;0.0;0.0
ME;2035;salt_cavern;0.0;0.0;0.0;0.0
MK;2035;salt_cavern;0.0;0.0;0.0;0.0
MT;2035;salt_cavern;0.0;0.0;0.0;0.0
NL;2035;salt_cavern;0.0;0.0;0.0;0.0
NO;2035;salt_cavern;0.0;0.0;0.0;0.0
PL;2035;salt_cavern;0.0;0.0;0.0;0.0
PT;2035;salt_cavern;0.0;0.0;0.0;0.0
RO;2035;salt_cavern;0.0;0.0;0.0;0.0
RS;2035;salt_cavern;0.0;0.0;0.0;0.0
SE;2035;salt_cavern;0.0;0.0;0.0;0.0
SI;2035;salt_cavern;0.0;0.0;0.0;0.0
SK;2035;salt_cavern;0.0;0.0;0.0;0.0
TR;2035;salt_cavern;0.0;0.0;0.0;0.0
UA;2035;salt_cavern;0.0;0.0;0.0;0.0
UK;2035;salt_cavern;0.0;0.0;0.0;0.0
AL;2040;salt_cavern;0.0;0.0;0.0;0.0
AT;2040;salt_cavern;5235492.340858477;0.0;1388.4408333333333;0.0
BA;2040;salt_cavern;0.0;0.0;0.0;0.0
BE;2040;salt_cavern;7761897.477152743;0.0;3479.8387083333337;0.0
