area;year_op;conversion_tech;max_yearly_production;max_daily_production;power_capacity_max;power_capacity_min;fixed_cost;variable_cost;must_run
BA;2050;hydro_river;;;32.1;32.1;130000.0;;1.0
BA;2030;hydro_reservoir;;;;;130000.0;;
BA;2035;hydro_reservoir;;;159.9;159.9;130000.0;;
BA;2040;hydro_reservoir;;;159.9;159.9;130000.0;;
BA;2050;hydro_reservoir;;;159.9;159.9;130000.0;;
BA;2030;hydro_pondage;;;;;130000.0;;
BA;2035;hydro_pondage;;;35.2;35.2;130000.0;;
BA;2040;hydro_pondage;;;35.2;35.2;130000.0;;
BA;2050;hydro_pondage;;;35.2;35.2;130000.0;;
BA;2030;hydro_pondage_h2o_inflow;;;;;0.0;;1.0
BA;2035;hydro_pondage_h2o_inflow;;;35.2;35.2;0.0;;1.0
BA;2040;hydro_pondage_h2o_inflow;;;35.2;35.2;0.0;;1.0
BA;2050;hydro_pondage_h2o_inflow;;;35.2;35.2;0.0;;1.0
BA;2030;hydro_reservoir_h2o_inflow;;;;;0.0;;1.0
BA;2035;hydro_reservoir_h2o_inflow;;;159.9;159.9;0.0;;1.0
BA;2040;hydro_reservoir_h2o_inflow;;;159.9;159.9;0.0;;1.0
BA;2050;hydro_reservoir_h2o_inflow;;;159.9;159.9;0.0;;1.0
BA;2030;heatpump;;;;;;;
BA;2035;heatpump;;;;;;;
BA;2040;heatpump;;;;;;;
BA;2050;heatpump;;;;;;;
BA;2030;ev;;;;;;;
BA;2035;ev;;;;;;;
BA;2040;ev;;;;;;;
BA;2050;ev;;;;;;;
BA;2030;ammonia_ships;;;0.0;;13366.0;;0.7
BA;2035;ammonia_ships;;;0.0;;12170.0;;0.7
BA;2040;ammonia_ships;;;0.0;;11365.0;;0.7
BA;2050;ammonia_ships;;;0.0;;10301.0;;0.7
BA;2030;mena_imports;;;0.0;;980.0;;0.5
BA;2035;mena_imports;;;0.0;;980.0;;0.5
BA;2040;mena_imports;;;0.0;;980.0;;0.5
BA;2050;mena_imports;;;0.0;;980.0;;0.5
BA;2030;ukraine_imports;;;0.0;;980.0;;0.7
BA;2035;ukraine_imports;;;0.0;;980.0;;0.7
BA;2040;ukraine_imports;;;0.0;;980.0;;0.7
BA;2050;ukraine_imports;;;0.0;;980.0;;0.7
BA;2030;norway_imports;;;0.0;;980.0;;0.7
BA;2035;norway_imports;;;0.0;;980.0;;0.7
BA;2040;norway_imports;;;0.0;;980.0;;0.7
